"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"03.01.2023 04:45 - 03.01.2023 05:00","n/e","n/e","n/e","2861","3425","3425"
"03.01.2023 05:00 - 03.01.2023 05:15","n/e","n/e","n/e","2879","3477","3477"
"03.01.2023 05:15 - 03.01.2023 05:30","n/e","n/e","n/e","2913","3485","3485"
"03.01.2023 05:30 - 03.01.2023 05:45","n/e","n/e","n/e","2951","3492","3492"
"03.01.2023 05:45 - 03.01.2023 06:00","n/e","n/e","n/e","2992","3498","3498"
"03.01.2023 06:00 - 03.01.2023 06:15","n/e","n/e","n/e","3047","3612","3612"
"03.01.2023 06:15 - 03.01.2023 06:30","n/e","n/e","n/e","3077","3609","3609"
"03.01.2023 06:30 - 03.01.2023 06:45","n/e","n/e","n/e","3096","3605","3605"
"03.01.2023 06:45 - 03.01.2023 07:00","n/e","n/e","n/e","3106","3600","3600"
"03.01.2023 07:00 - 03.01.2023 07:15","n/e","n/e","n/e","3112","3579","3579"
"03.01.2023 07:15 - 03.01.2023 07:30","n/e","n/e","n/e","3115","3583","3583"
"03.01.2023 07:30 - 03.01.2023 07:45","n/e","n/e","n/e","3120","3589","3589"
"03.01.2023 07:45 - 03.01.2023 08:00","n/e","n/e","n/e","3127","3592","3592"
"03.01.2023 08:00 - 03.01.2023 08:15","n/e","n/e","n/e","3134","3688","3688"
"03.01.2023 08:15 - 03.01.2023 08:30","n/e","n/e","n/e","3146","3679","3679"
"03.01.2023 08:30 - 03.01.2023 08:45","n/e","n/e","n/e","3158","3669","3669"
"03.01.2023 08:45 - 03.01.2023 09:00","n/e","n/e","n/e","3167","3653","3653"
"03.01.2023 09:00 - 03.01.2023 09:15","n/e","n/e","n/e","3202","3656","3876"
"03.01.2023 09:15 - 03.01.2023 09:30","n/e","n/e","n/e","3181","3616","3829"
"03.01.2023 09:30 - 03.01.2023 09:45","n/e","n/e","n/e","3136","3559","3770"
"03.01.2023 09:45 - 03.01.2023 10:00","n/e","n/e","n/e","3074","3488","3700"
"03.01.2023 10:00 - 03.01.2023 10:15","n/e","n/e","n/e","3005","3419","3382"
"03.01.2023 10:15 - 03.01.2023 10:30","n/e","n/e","n/e","2930","3332","3314"
"03.01.2023 10:30 - 03.01.2023 10:45","n/e","n/e","n/e","2858","3242","3241"
"03.01.2023 10:45 - 03.01.2023 11:00","n/e","n/e","n/e","2792","3150","3167"
"03.01.2023 11:00 - 03.01.2023 11:15","n/e","n/e","n/e","2721","3058","2750"
"03.01.2023 11:15 - 03.01.2023 11:30","n/e","n/e","n/e","2665","2968","2696"
"03.01.2023 11:30 - 03.01.2023 11:45","n/e","n/e","n/e","2613","2880","2648"
"03.01.2023 11:45 - 03.01.2023 12:00","n/e","n/e","n/e","2569","2803","2608"
"03.01.2023 12:00 - 03.01.2023 12:15","n/e","n/e","n/e","2512","2692","2352"
"03.01.2023 12:15 - 03.01.2023 12:30","n/e","n/e","n/e","2491","2661","2345"
"03.01.2023 12:30 - 03.01.2023 12:45","n/e","n/e","n/e","2483","2662","2350"
"03.01.2023 12:45 - 03.01.2023 13:00","n/e","n/e","n/e","2484","2687","2363"
"03.01.2023 13:00 - 03.01.2023 13:15","n/e","n/e","n/e","2495","2728","2396"
"03.01.2023 13:15 - 03.01.2023 13:30","n/e","n/e","n/e","2498","2766","2410"
"03.01.2023 13:30 - 03.01.2023 13:45","n/e","n/e","n/e","2494","2797","2429"
"03.01.2023 13:45 - 03.01.2023 14:00","n/e","n/e","n/e","2484","2820","2454"
"03.01.2023 14:00 - 03.01.2023 14:15","n/e","n/e","n/e","2471","2842","2508"
"03.01.2023 14:15 - 03.01.2023 14:30","n/e","n/e","n/e","2456","2858","2524"
"03.01.2023 14:30 - 03.01.2023 14:45","n/e","n/e","n/e","2443","2873","2541"
"03.01.2023 14:45 - 03.01.2023 15:00","n/e","n/e","n/e","2434","2889","2561"
"03.01.2023 15:00 - 03.01.2023 15:15","n/e","n/e","n/e","2410","2906","2499"
"03.01.2023 15:15 - 03.01.2023 15:30","n/e","n/e","n/e","2418","2918","2521"
"03.01.2023 15:30 - 03.01.2023 15:45","n/e","n/e","n/e","2439","2929","2548"
"03.01.2023 15:45 - 03.01.2023 16:00","n/e","n/e","n/e","2472","2941","2580"
"03.01.2023 16:00 - 03.01.2023 16:15","n/e","n/e","n/e","2501","2936","2508"
"03.01.2023 16:15 - 03.01.2023 16:30","n/e","n/e","n/e","2548","2968","2555"
"03.01.2023 16:30 - 03.01.2023 16:45","n/e","n/e","n/e","2600","3016","2610"
"03.01.2023 16:45 - 03.01.2023 17:00","n/e","n/e","n/e","2658","3076","2673"
"03.01.2023 17:00 - 03.01.2023 17:15","n/e","n/e","n/e","2708","3150","2533"
"03.01.2023 17:15 - 03.01.2023 17:30","n/e","n/e","n/e","2788","3213","2613"
"03.01.2023 17:30 - 03.01.2023 17:45","n/e","n/e","n/e","2881","3267","2693"
"03.01.2023 17:45 - 03.01.2023 18:00","n/e","n/e","n/e","2977","3312","2770"
"03.01.2023 18:00 - 03.01.2023 18:15","n/e","n/e","n/e","3113","3370","2480"
"03.01.2023 18:15 - 03.01.2023 18:30","n/e","n/e","n/e","3182","3393","2562"
"03.01.2023 18:30 - 03.01.2023 18:45","n/e","n/e","n/e","3222","3403","2634"
"03.01.2023 18:45 - 03.01.2023 19:00","n/e","n/e","n/e","3239","3405","2697"
"03.01.2023 19:00 - 03.01.2023 19:15","n/e","n/e","n/e","3243","3401","2779"
"03.01.2023 19:15 - 03.01.2023 19:30","n/e","n/e","n/e","3245","3397","2815"
